" Command Line"," Source base directory"," Destination directory"," File name template"," Directories processed"," Total data in bytes"," Elapsed time in sec","min)"," Files examined"," Files copied"," Directories created"," Log File Appended"," Exit code"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","51","245.6","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","49.51","252.9","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","47.65","262.8","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","50.8","246.5","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","46.05","272","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","47.61","263.1","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","47.86","261.7","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","48.83","256.5","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","48.58","257.8","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
"xxcopy /yy /of0 /clone /ff /pb X:\Software\Speed-test\source\little_files R:\speed-test\little_files /oaX:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log",""X:\Software\Speed-test\source\little_files\"",""R:\speed-test\little_files\"",""*"","1,491","208,731,021","49.61","252.4","24,344","532","76","X:\Software\Speed-test\stats\GEOMATT\server2drobo_diff-little_files.log","0 (No error, Successful operation)"
